Family,Genus,Species,Genus corrected,Species corrected,Growth form,Plant traits,Plant trait value,Trait unit,Minimun value,Maximum value,Trait range mean value,Trait range unit,Sample size value,Sample unit,Origin,Deciduousness,Succession,Nitrogen fixing,Shade tolerance,Dispersal syndrome,Dispersal group,Pollination,Pollination group,Sexual system,Reproductive system,Resprouting capsule,Flower color 1,Flower color 2,Flowering period start,Flowering period end,Flower shape,Odour,Anthesis time,Fruit color,Fruit period start,Fruit period end,Fruit type,Fruit dehiscence,Fruit secundary structure,Seed color,Seed arillus,Arrilus color,Usefulness,Usefulness group,Source,Study Date,Study Country,Study State,Study City,Study Area,Study Bioma,Physiognomy type,Database DOI,Full Reference APA Database,Reference citation,Paper DOI,Full reference APA,Created At,Created By,Modified At,Modified By,Editor Name,Editor Email,Additional Notes
Bromeliaceae,Aechmea,leptantha,,,,corolla_length,28.25,mm,,,3.4,SD,26,hour,native,,,,,,,,,,,,red,,january,june,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,leptantha,,,,nectar_volume,7.33,uL/hour,,,2.39,SD,26,hour,native,,,,,,,,,,,,red,,january,june,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,leptantha,,,,nectar_concentration_brix,29,%,,,1.79,SD,26,hour,native,,,,,,,,,,,,red,,january,june,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,miniata,,,,corolla_length,16.83,mm,,,2.53,SD,60,hour,native,,,,,,,,,,,,red,,december,march,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,miniata,,,,nectar_volume,5.05,uL/hour,,,2.45,SD,60,hour,native,,,,,,,,,,,,red,,december,march,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,miniata,,,,nectar_concentration_brix,26.5,%,,,1.47,SD,60,hour,native,,,,,,,,,,,,red,,december,march,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,muricata,,,,corolla_length,31.7,mm,,,1.7,SD,33,hour,native,,,,,,,,,,,,white,,october,april,tube,,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,muricata,,,,nectar_volume,10.25,uL/hour,,,1.32,SD,33,hour,native,,,,,,,,,,,,white,,october,april,tube,,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,muricata,,,,nectar_concentration_brix,36.5,%,,,5.5,SD,33,hour,native,,,,,,,,,,,,white,,october,april,tube,,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,nudicaulis,,,,corolla_length,13.51,mm,,,0.91,SD,562,hour,native,,,,,,,,,,,,yellow,red,may,april,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
